DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             0.416               1.017            -0.602         1.391
RESSURF            0.420               1.015            -0.595         2.976
SOLIN            340.267             340.267             0.000         0.000
AAM            1.414e+26           1.431e+26        -1.700e+24      -999.000
CHI_200           -0.002               0.005            -0.007         0.197
CLDHGH            29.037              28.964             0.073         0.792
CLDLOW            32.557              33.201            -0.644         1.234
CLDMED            16.031              15.791             0.240         0.673
CLDTOT            50.725              51.138            -0.413         1.054
EKE_850           30.603              30.406             0.197         0.848
EP             1.528e-05           9.191e-05        -7.663e-05         0.190
FLNS              59.328              58.310             1.017         1.447
FLNSC             82.023              80.731             1.292         1.767
FLNT             232.430             234.581            -2.151         2.377
FLNTC            261.330             263.582            -2.253         2.329
FSDS             181.540             182.824            -1.285         2.242
FSDSC            242.841             245.573            -2.732         2.807
FSNS             158.515             160.034            -1.519         2.177
FSNSC            213.836             216.651            -2.816         3.253
FSNSC_ICE         51.658              54.035            -2.376         5.082
FSNSC_LAND       176.896             179.163            -2.267         2.567
FSNT             232.845             235.598            -2.753         3.105
FSNTC            284.174             288.448            -4.274         4.563
ICEAREA           23.703              21.968             1.734         0.047
LHFLX             81.652              83.627            -1.974         3.295
LWCF              28.900              29.002            -0.102         0.794
PRECT              2.798               2.868            -0.069         0.191
PRECT_LAND         2.304               2.373            -0.069         0.163
PRECT_OCEAN        3.125               3.190            -0.065         0.208
PREH2O            25.940              27.497            -1.557         1.787
PREH2O_OCEAN      30.303              31.926            -1.623         1.936
PSI_200           -0.035              -0.034            -0.001         0.104
PS               985.429             985.582            -0.153         0.330
PSL             1011.144            1011.251            -0.107         0.278
QFLX               2.798               2.868            -0.069         0.104
SHFLX             17.115              17.082             0.034         1.406
SNOWHLND          11.459              11.281             0.178         1.807
SST               20.632              21.285            -0.652         0.673
STRESS_MAG         0.067               0.067             0.000         0.002
SWCF             -51.328             -52.850             1.521         2.261
T_850            281.873             282.712            -0.839         0.854
TGCLDLWP         134.008             136.431            -2.423         5.590
TGCLDIWP          17.335              16.950             0.385         0.701
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.767             288.601            -0.834         0.882
TS               288.462             289.288            -0.826         0.888
TS_LAND          282.455             283.555            -1.100         1.127
U_200             15.507              15.688            -0.180         0.552
VT_850             0.114               0.116            -0.001         0.330
Z3_500            56.742              56.948            -0.206         0.208
