DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             7.908               8.703            -0.796         2.464
RESSURF            7.061               7.777            -0.716         5.664
SOLIN            350.496             350.496             0.000         0.000
AAM            1.481e+26           1.490e+26        -8.972e+23      -999.000
CHI_200           -0.048              -0.033            -0.015         0.326
CLDHGH            28.407              28.373             0.034         1.498
CLDLOW            32.068              32.547            -0.479         1.428
CLDMED            16.260              16.066             0.194         1.128
CLDTOT            50.013              50.340            -0.327         1.557
EKE_850           27.973              27.663             0.310         1.824
EP             6.748e-03           7.440e-03        -6.924e-04         0.290
FLNS              58.641              57.805             0.835         1.726
FLNSC             81.328              80.215             1.114         1.955
FLNT             229.516             231.615            -2.099         2.778
FLNTC            257.961             260.191            -2.230         2.454
FSDS             188.527             189.984            -1.457         3.276
FSDSC            252.889             255.755            -2.866         3.105
FSNS             163.086             164.814            -1.728         3.055
FSNSC            221.314             224.318            -3.004         4.332
FSNSC_ICE         28.896              25.018             3.879         4.815
FSNSC_LAND       142.730             145.038            -2.308         2.983
FSNT             237.424             240.319            -2.895         3.803
FSNTC            291.292             295.698            -4.406         5.488
ICEAREA           21.988              20.449             1.539         0.052
LHFLX             82.407              84.378            -1.971         4.407
LWCF              28.445              28.576            -0.131         1.384
PRECT              2.814               2.883            -0.069         0.277
PRECT_LAND         2.256               2.341            -0.085         0.262
PRECT_OCEAN        3.178               3.235            -0.057         0.291
PREH2O            24.671              26.085            -1.413         1.746
PREH2O_OCEAN      29.881              31.421            -1.540         1.913
PSI_200           -0.002              -0.001            -0.001         0.123
PS               985.305             985.444            -0.139         0.546
PSL             1011.349            1011.425            -0.076         0.532
QFLX               2.821               2.891            -0.069         0.135
SHFLX             14.978              14.854             0.124         2.504
SNOWHLND          12.229              12.046             0.183         1.804
SST               20.644              21.304            -0.659         0.686
STRESS_MAG         0.071               0.070             0.001         0.005
SWCF             -53.867             -55.379             1.512         3.326
T_850            280.258             281.050            -0.793         0.837
TGCLDLWP         134.596             136.828            -2.232         8.065
TGCLDIWP          17.712              17.367             0.345         1.166
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.838             286.663            -0.824         0.925
TS               286.488             287.305            -0.816         0.941
TS_LAND          275.727             276.788            -1.061         1.197
U_200             16.240              16.302            -0.061         1.027
VT_850            -0.704              -0.678            -0.026         0.633
Z3_500            56.498              56.693            -0.195         0.204
