DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            -9.894              -9.491            -0.403         2.321
RESSURF          -10.853             -10.423            -0.430         4.136
SOLIN            330.385             330.385             0.000         0.000
AAM            1.205e+26           1.231e+26        -2.626e+24      -999.000
CHI_200            0.030               0.035            -0.005         0.342
CLDHGH            30.418              30.353             0.065         1.229
CLDLOW            34.988              35.792            -0.804         1.788
CLDMED            16.028              15.739             0.288         1.065
CLDTOT            53.589              54.142            -0.553         1.698
EKE_850           27.774              27.835            -0.061         1.203
EP             1.003e-02           1.115e-02        -1.118e-03         0.305
FLNS              58.234              57.018             1.216         1.953
FLNSC             81.573              80.011             1.562         2.086
FLNT             235.585             237.798            -2.213         2.733
FLNTC            265.382             267.649            -2.267         2.398
FSDS             169.805             170.777            -0.972         3.399
FSDSC            232.102             234.629            -2.528         2.885
FSNS             150.290             151.552            -1.262         3.085
FSNSC            206.445             209.075            -2.630         3.670
FSNSC_ICE         42.541              46.698            -4.157         8.906
FSNSC_LAND       212.277             214.457            -2.181         3.084
FSNT             225.690             228.307            -2.616         3.821
FSNTC            278.005             282.214            -4.210         5.126
ICEAREA           24.631              22.894             1.737         0.063
LHFLX             83.538              85.534            -1.996         4.135
LWCF              29.797              29.851            -0.054         1.256
PRECT              2.857               2.925            -0.069         0.297
PRECT_LAND         2.348               2.407            -0.059         0.255
PRECT_OCEAN        3.179               3.246            -0.067         0.323
PREH2O            27.825              29.591            -1.766         2.040
PREH2O_OCEAN      30.851              32.577            -1.725         2.094
PSI_200           -0.074              -0.074            -0.001         0.160
PS               985.614             985.788            -0.173         0.473
PSL             1010.995            1011.131            -0.135         0.463
QFLX               2.867               2.936            -0.070         0.126
SHFLX             19.371              19.423            -0.052         1.950
SNOWHLND          10.452              10.284             0.169         1.856
SST               20.310              20.958            -0.648         0.672
STRESS_MAG         0.078               0.077             0.000         0.005
SWCF             -52.314             -53.908             1.593         3.226
T_850            283.759             284.658            -0.899         0.945
TGCLDLWP         140.083             142.250            -2.167         8.390
TGCLDIWP          16.485              16.081             0.403         0.982
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.753             290.599            -0.845         0.919
TS               290.450             291.285            -0.835         0.929
TS_LAND          289.129             290.330            -1.200         1.252
U_200             13.462              13.729            -0.267         0.863
VT_850             0.936               0.930             0.006         0.591
Z3_500            57.081              57.300            -0.219         0.226
