DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             1.470               2.050            -0.579         2.203
RESSURF           -0.888              -0.478            -0.410         4.008
SOLIN            338.254             338.254             0.000         0.000
AAM            1.544e+26           1.561e+26        -1.631e+24      -999.000
CHI_200            0.008               0.006             0.002         0.247
CLDHGH            28.886              28.747             0.139         1.292
CLDLOW            30.924              31.516            -0.592         1.502
CLDMED            15.990              15.693             0.297         1.238
CLDTOT            49.334              49.640            -0.306         1.501
EKE_850           28.336              28.158             0.179         1.263
EP             1.755e-02           1.943e-02        -1.880e-03         0.375
FLNS              60.708              59.820             0.888         1.769
FLNSC             82.770              81.592             1.178         1.952
FLNT             231.880             234.127            -2.247         2.900
FLNTC            260.953             263.261            -2.308         2.462
FSDS             183.349             184.825            -1.476         3.353
FSDSC            240.813             243.586            -2.773         2.933
FSNS             159.228             160.845            -1.618         3.341
FSNSC            210.990             213.753            -2.763         3.910
FSNSC_ICE         38.753              40.013            -1.259         4.913
FSNSC_LAND       187.619             190.240            -2.622         3.504
FSNT             233.350             236.176            -2.826         3.946
FSNTC            281.440             285.627            -4.188         4.997
ICEAREA           23.414              21.487             1.927         0.071
LHFLX             81.452              83.540            -2.088         4.344
LWCF              29.073              29.135            -0.061         1.387
PRECT              2.770               2.842            -0.071         0.358
PRECT_LAND         2.232               2.271            -0.038         0.224
PRECT_OCEAN        3.110               3.192            -0.082         0.416
PREH2O            25.606              27.102            -1.495         1.842
PREH2O_OCEAN      30.303              31.881            -1.578         2.048
PSI_200           -0.021              -0.021            -0.000         0.135
PS               985.397             985.543            -0.147         0.423
PSL             1011.140            1011.246            -0.107         0.384
QFLX               2.788               2.861            -0.073         0.128
SHFLX             17.956              17.964            -0.008         1.803
SNOWHLND          12.597              12.404             0.193         1.841
SST               20.664              21.321            -0.657         0.683
STRESS_MAG         0.066               0.066             0.000         0.004
SWCF             -48.089             -49.451             1.362         3.136
T_850            281.812             282.647            -0.835         0.864
TGCLDLWP         127.785             130.257            -2.471         9.062
TGCLDIWP          17.756              17.352             0.404         1.048
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.734             288.568            -0.834         0.897
TS               288.470             289.296            -0.826         0.911
TS_LAND          282.148             283.194            -1.046         1.102
U_200             16.708              16.926            -0.218         0.831
VT_850             0.178               0.176             0.002         0.536
Z3_500            56.687              56.893            -0.206         0.211
