DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             2.351               2.985            -0.634         2.096
RESSURF            6.560               7.393            -0.833         3.830
SOLIN            342.177             342.177             0.000         0.000
AAM            1.430e+26           1.448e+26        -1.782e+24      -999.000
CHI_200            0.005               0.017            -0.011         0.420
CLDHGH            28.423              28.363             0.060         1.284
CLDLOW            32.242              32.935            -0.693         1.469
CLDMED            15.854              15.671             0.183         0.855
CLDTOT            49.948              50.407            -0.459         1.516
EKE_850           27.614              27.488             0.127         1.061
EP            -3.442e-02          -3.810e-02         3.677e-03         0.256
FLNS              59.717              58.604             1.113         1.636
FLNSC             82.415              81.116             1.299         1.849
FLNT             232.674             234.719            -2.045         2.527
FLNTC            260.944             263.150            -2.206         2.329
FSDS             184.662             185.908            -1.246         2.895
FSDSC            245.816             248.587            -2.771         2.975
FSNS             161.580             163.060            -1.480         2.877
FSNSC            216.784             219.659            -2.875         4.018
FSNSC_ICE         44.408              45.193            -0.785         5.177
FSNSC_LAND       164.063             166.040            -1.976         2.244
FSNT             235.025             237.704            -2.680         3.544
FSNTC            286.125             290.419            -4.294         5.085
ICEAREA           24.754              23.041             1.713         0.067
LHFLX             79.200              81.036            -1.837         3.797
LWCF              28.270              28.431            -0.160         1.224
PRECT              2.751               2.820            -0.069         0.246
PRECT_LAND         2.381               2.473            -0.092         0.234
PRECT_OCEAN        3.009               3.062            -0.053         0.257
PREH2O            25.624              27.167            -1.543         1.803
PREH2O_OCEAN      29.719              31.283            -1.564         1.913
PSI_200           -0.044              -0.043            -0.001         0.107
PS               985.398             985.550            -0.151         0.336
PSL             1011.098            1011.205            -0.108         0.302
QFLX               2.717               2.782            -0.065         0.117
SHFLX             16.103              16.026             0.076         1.524
SNOWHLND          10.565              10.400             0.165         1.926
SST               20.201              20.848            -0.646         0.670
STRESS_MAG         0.070               0.070            -0.000         0.003
SWCF             -51.100             -52.715             1.615         2.842
T_850            281.641             282.475            -0.834         0.859
TGCLDLWP         133.576             136.397            -2.821         7.458
TGCLDIWP          17.401              17.012             0.389         0.940
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.692             288.525            -0.833         0.917
TS               288.388             289.215            -0.827         0.929
TS_LAND          282.655             283.758            -1.103         1.153
U_200             15.644              15.825            -0.181         0.693
VT_850             0.024               0.010             0.014         0.455
Z3_500            56.695              56.897            -0.202         0.206
