DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -25.951             -25.377            -0.575         1.415
RESSURF          -10.115              -9.354            -0.761         4.385
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.008               0.003            -0.011         0.177
CLDHGH            25.027              25.087            -0.060         0.814
CLDLOW            30.085              30.763            -0.677         1.387
CLDMED            15.374              15.066             0.308         0.627
CLDTOT            46.040              46.549            -0.509         1.179
EKE_850           33.746              33.673             0.073         1.030
EP            -1.968e-02          -2.726e-02         7.581e-03         0.142
FLNS              65.100              64.512             0.588         1.325
FLNSC             88.444              87.783             0.661         1.389
FLNT             229.180             231.417            -2.238         2.448
FLNTC            252.711             255.188            -2.477         2.588
FSDS             164.747             165.824            -1.076         2.094
FSDSC            216.347             218.835            -2.488         2.572
FSNS             135.728             137.227            -1.499         2.189
FSNSC            180.333             183.043            -2.711         3.217
FSNSC_ICE         44.474              47.742            -3.268         4.803
FSNSC_LAND       162.694             165.132            -2.438         2.813
FSNT             203.228             206.041            -2.812         3.170
FSNTC            244.103             248.333            -4.231         4.565
ICEAREA           11.905              11.233             0.672         0.042
LHFLX             59.088              60.266            -1.178         3.363
LWCF              23.531              23.771            -0.240         0.786
PRECT              2.034               2.085            -0.051         0.141
PRECT_LAND         1.636               1.685            -0.049         0.128
PRECT_OCEAN        2.637               2.684            -0.047         0.161
PREH2O            18.007              19.176            -1.169         1.266
PREH2O_OCEAN      24.076              25.381            -1.305         1.485
PSI_200           -6.685              -6.786             0.101         0.121
PS               976.858             977.056            -0.198         0.414
PSL             1015.838            1015.950            -0.112         0.359
QFLX               2.014               2.058            -0.043         0.108
SHFLX             21.655              21.803            -0.148         1.945
SNOWHLND           4.674               4.357             0.317         2.408
SST               18.168              18.804            -0.636         0.704
STRESS_MAG         0.050               0.049             0.001         0.003
SWCF             -40.874             -42.293             1.418         2.114
T_850            278.441             279.385            -0.943         0.960
TGCLDLWP         124.825             127.280            -2.455         5.430
TGCLDIWP          19.535              19.180             0.355         0.780
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.793             283.768            -0.974         1.046
TS               283.332             284.309            -0.977         1.070
TS_LAND          280.373             281.542            -1.169         1.200
U_200             18.482              18.722            -0.241         0.576
VT_850             0.275               0.273             0.002         0.426
Z3_500            56.418              56.636            -0.219         0.222
