DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -104.165            -104.278             0.112         1.985
RESSURF          -75.833             -75.931             0.099         8.663
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.532               3.537            -0.005         0.355
CLDHGH            25.793              25.939            -0.147         1.881
CLDLOW            27.235              27.623            -0.387         1.486
CLDMED            17.324              17.074             0.250         1.285
CLDTOT            44.529              44.740            -0.212         1.858
EKE_850           43.306              43.637            -0.330         2.596
EP             1.426e-01           1.411e-01         1.538e-03         0.217
FLNS              64.891              64.874             0.017         1.707
FLNSC             88.008              88.007             0.002         1.714
FLNT             211.155             213.352            -2.197         2.910
FLNTC            233.680             236.252            -2.572         2.903
FSDS              89.539              90.919            -1.380         2.243
FSDSC            114.365             116.577            -2.213         2.466
FSNS              72.722              74.112            -1.391         2.339
FSNSC             93.868              95.918            -2.050         2.751
FSNSC_ICE          1.917               1.594             0.323         0.373
FSNSC_LAND        75.935              78.096            -2.162         3.208
FSNT             106.990             109.074            -2.085         2.766
FSNTC            127.168             130.114            -2.946         3.519
ICEAREA           14.243              13.574             0.668         0.059
LHFLX             66.316              67.993            -1.677         5.498
LWCF              22.525              22.900            -0.375         1.460
PRECT              2.078               2.140            -0.062         0.210
PRECT_LAND         1.061               1.105            -0.044         0.160
PRECT_OCEAN        3.418               3.492            -0.074         0.263
PREH2O            11.441              12.085            -0.644         0.856
PREH2O_OCEAN      18.280              19.140            -0.859         1.144
PSI_200           -8.138              -8.181             0.043         0.159
PS               977.298             977.606            -0.308         0.859
PSL             1017.638            1017.833            -0.195         0.861
QFLX               2.221               2.281            -0.060         0.175
SHFLX             17.347              17.177             0.170         4.082
SNOWHLND           6.144               5.818             0.326         2.404
SST               16.195              16.805            -0.610         0.696
STRESS_MAG         0.076               0.075             0.001         0.009
SWCF             -20.179             -21.040             0.862         1.584
T_850            270.728             271.544            -0.815         0.920
TGCLDLWP         119.567             122.617            -3.051         8.907
TGCLDIWP          23.822              23.699             0.123         1.573
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           273.611             274.574            -0.963         1.156
TS               274.096             275.055            -0.959         1.195
TS_LAND          265.010             266.073            -1.063         1.266
U_200             25.453              25.839            -0.386         1.269
VT_850             0.410               0.404             0.006         0.915
Z3_500            55.103              55.305            -0.202         0.223
