DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            50.572              51.841            -1.269         3.386
RESSURF           53.562              54.710            -1.148         3.417
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.577              -3.657             0.080         0.345
CLDHGH            25.018              25.120            -0.102         1.199
CLDLOW            36.806              37.728            -0.922         2.246
CLDMED            13.675              13.361             0.315         0.989
CLDTOT            51.474              52.406            -0.931         2.135
EKE_850           19.302              19.183             0.118         1.099
EP            -2.384e-01          -2.511e-01         1.269e-02         0.234
FLNS              60.673              59.443             1.229         2.257
FLNSC             85.228              83.620             1.608         2.146
FLNT             247.913             250.064            -2.150         2.711
FLNTC            272.815             275.179            -2.364         2.521
FSDS             232.032             232.344            -0.313         4.470
FSDSC            317.052             319.514            -2.462         3.098
FSNS             195.651             197.021            -1.370         4.050
FSNSC            269.879             273.156            -3.276         5.280
FSNSC_ICE        115.977             126.707           -10.730        14.905
FSNSC_LAND       254.248             256.642            -2.394         3.606
FSNT             298.485             301.904            -3.419         5.028
FSNTC            365.827             371.397            -5.569         7.106
ICEAREA            9.353               8.758             0.595         0.040
LHFLX             53.835              54.815            -0.979         3.316
LWCF              24.902              25.115            -0.214         1.195
PRECT              2.123               2.172            -0.049         0.239
PRECT_LAND         2.399               2.446            -0.046         0.238
PRECT_OCEAN        1.962               2.008            -0.047         0.253
PREH2O            26.770              28.698            -1.928         2.038
PREH2O_OCEAN      31.160              33.162            -2.002         2.144
PSI_200           -4.482              -4.614             0.133         0.156
PS               976.006             976.094            -0.088         0.367
PSL             1013.677            1013.686            -0.010         0.358
QFLX               1.885               1.921            -0.036         0.105
SHFLX             27.582              28.053            -0.471         1.919
SNOWHLND           2.761               2.461             0.300         2.474
SST               19.673              20.357            -0.683         0.749
STRESS_MAG         0.048               0.048             0.000         0.003
SWCF             -67.342             -69.492             2.150         4.373
T_850            287.284             288.405            -1.121         1.171
TGCLDLWP         135.001             136.237            -1.236         8.344
TGCLDIWP          14.322              13.894             0.428         0.942
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.057             293.047            -0.990         1.078
TS               292.635             293.627            -0.992         1.099
TS_LAND          295.657             297.011            -1.354         1.403
U_200              9.553               9.639            -0.086         0.909
VT_850             0.111               0.115            -0.004         0.548
Z3_500            57.931              58.175            -0.244         0.249
