DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -68.400             -68.683             0.282         1.240
RESSURF          -36.831             -36.160            -0.672         5.276
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.122              -1.198             0.076         0.382
CLDHGH            24.572              24.786            -0.214         1.137
CLDLOW            28.905              29.729            -0.824         1.845
CLDMED            15.120              14.922             0.198         0.879
CLDTOT            44.348              45.074            -0.726         1.767
EKE_850           30.694              30.366             0.328         1.262
EP             6.538e-03          -1.277e-02         1.931e-02         0.203
FLNS              64.687              63.754             0.933         1.658
FLNSC             87.504              86.715             0.789         1.715
FLNT             230.704             232.880            -2.175         2.575
FLNTC            254.260             256.815            -2.556         2.732
FSDS             127.825             128.569            -0.744         2.138
FSDSC            166.299             168.255            -1.956         2.067
FSNS             109.531             110.387            -0.856         1.922
FSNSC            143.344             145.231            -1.887         2.078
FSNSC_ICE         10.032              10.375            -0.344         2.280
FSNSC_LAND       127.399             129.275            -1.876         2.126
FSNT             162.304             164.197            -1.893         2.472
FSNTC            194.373             197.496            -3.124         3.221
ICEAREA            9.335               8.606             0.729         0.067
LHFLX             64.264              65.373            -1.109         4.087
LWCF              23.555              23.935            -0.380         1.165
PRECT              2.184               2.246            -0.062         0.194
PRECT_LAND         1.587               1.657            -0.070         0.193
PRECT_OCEAN        2.940               2.983            -0.043         0.202
PREH2O            19.068              20.357            -1.288         1.411
PREH2O_OCEAN      25.714              27.117            -1.403         1.618
PSI_200           -6.342              -6.438             0.096         0.124
PS               977.126             977.241            -0.115         0.413
PSL             1016.118            1016.145            -0.027         0.368
QFLX               2.190               2.233            -0.043         0.129
SHFLX             17.412              17.421            -0.009         1.870
SNOWHLND           2.969               2.670             0.299         2.598
SST               19.350              20.039            -0.689         0.754
STRESS_MAG         0.050               0.048             0.002         0.004
SWCF             -32.069             -33.299             1.231         1.984
T_850            278.934             279.893            -0.959         0.999
TGCLDLWP         129.480             133.148            -3.668         8.814
TGCLDIWP          19.369              18.947             0.422         1.048
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.952             285.019            -1.067         1.199
TS               284.520             285.597            -1.077         1.235
TS_LAND          280.269             281.512            -1.243         1.299
U_200             18.109              18.304            -0.194         0.824
VT_850             0.121               0.119             0.002         0.587
Z3_500            56.583              56.797            -0.214         0.222
