DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -21.683             -21.030            -0.654         1.326
RESSURF           -4.501              -3.491            -1.011         2.200
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.523               0.562            -0.040         0.165
CLDHGH            25.547              25.383             0.164         0.665
CLDLOW            39.129              39.758            -0.630         1.201
CLDMED            15.858              15.572             0.286         0.517
CLDTOT            53.301              53.660            -0.359         0.976
EKE_850           44.061              43.776             0.285         0.831
EP             1.047e-01           1.097e-01        -4.981e-03         0.119
FLNS              59.957              59.164             0.793         1.108
FLNSC             88.659              87.730             0.930         1.336
FLNT             224.342             226.413            -2.071         2.198
FLNTC            248.713             250.810            -2.097         2.140
FSDS             165.114             166.355            -1.242         2.286
FSDSC            222.725             225.450            -2.725         2.806
FSNS             140.342             141.933            -1.591         2.123
FSNSC            191.348             194.255            -2.906         3.634
FSNSC_ICE         59.107              61.038            -1.932         5.375
FSNSC_LAND       128.199             129.659            -1.460         1.643
FSNT             202.658             205.383            -2.725         3.013
FSNTC            248.997             253.205            -4.208         4.707
ICEAREA           11.797              10.735             1.062         0.051
LHFLX             72.314              73.923            -1.609         2.441
LWCF              24.371              24.398            -0.026         0.585
PRECT              2.341               2.393            -0.052         0.116
PRECT_LAND         1.647               1.704            -0.057         0.108
PRECT_OCEAN        2.540               2.587            -0.047         0.120
PREH2O            17.413              18.425            -1.012         1.155
PREH2O_OCEAN      19.881              20.882            -1.001         1.202
PSI_200            7.196               7.303            -0.107         0.125
PS               983.284             983.443            -0.160         0.367
PSL             1006.988            1007.115            -0.128         0.300
QFLX               2.446               2.503            -0.057         0.077
SHFLX             12.572              12.336             0.236         1.080
SNOWHLND          46.975              46.923             0.052         1.030
SST               14.967              15.616            -0.649         0.659
STRESS_MAG         0.093               0.092             0.001         0.003
SWCF             -46.339             -47.822             1.483         2.307
T_850            276.227             276.999            -0.773         0.783
TGCLDLWP         142.569             144.820            -2.251         5.506
TGCLDIWP          20.538              20.083             0.455         0.730
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.271             282.048            -0.777         0.812
TS               281.836             282.605            -0.768         0.815
TS_LAND          266.250             267.347            -1.097         1.119
U_200             25.188              25.500            -0.313         0.542
VT_850            -0.212              -0.204            -0.008         0.309
Z3_500            55.179              55.373            -0.194         0.196
