DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            74.894              76.560            -1.665         2.919
RESSURF           82.327              84.222            -1.894         3.588
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.077              -3.055            -0.022         0.262
CLDHGH            21.343              21.178             0.164         0.977
CLDLOW            41.952              42.688            -0.736         1.582
CLDMED            13.927              13.693             0.234         0.767
CLDTOT            52.742              53.297            -0.555         1.426
EKE_850           30.358              29.625             0.732         1.400
EP            -2.507e-02          -2.508e-02         6.273e-06         0.186
FLNS              55.949              54.904             1.045         1.618
FLNSC             85.156              83.942             1.214         1.675
FLNT             235.324             237.350            -2.026         2.390
FLNTC            258.062             260.039            -1.977         2.073
FSDS             258.243             259.354            -1.111         3.937
FSDSC            351.081             354.480            -3.399         3.702
FSNS             214.319             216.341            -2.022         3.519
FSNSC            296.811             300.959            -4.148         6.386
FSNSC_ICE        119.470             121.167            -1.697        10.881
FSNSC_LAND       188.048             190.465            -2.417         2.782
FSNT             310.218             313.909            -3.692         4.598
FSNTC            383.671             389.648            -5.977         7.711
ICEAREA            7.745               6.875             0.870         0.046
LHFLX             64.902              66.218            -1.316         2.696
LWCF              22.739              22.689             0.049         0.930
PRECT              2.246               2.294            -0.048         0.179
PRECT_LAND         2.699               2.803            -0.104         0.250
PRECT_OCEAN        2.185               2.219            -0.033         0.164
PREH2O            21.573              22.840            -1.268         1.447
PREH2O_OCEAN      23.395              24.585            -1.190         1.446
PSI_200            6.563               6.593            -0.030         0.078
PS               983.491             983.530            -0.039         0.367
PSL             1006.813            1006.797             0.016         0.296
QFLX               2.221               2.269            -0.048         0.082
SHFLX             11.140              10.997             0.143         0.894
SNOWHLND          46.940              46.884             0.056         1.028
SST               16.332              17.009            -0.677         0.692
STRESS_MAG         0.081               0.080             0.001         0.003
SWCF             -73.454             -75.739             2.285         4.725
T_850            279.465             280.247            -0.781         0.795
TGCLDLWP         146.116             148.014            -1.898         7.073
TGCLDIWP          16.891              16.340             0.551         0.943
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.973             285.735            -0.762         0.809
TS               285.495             286.252            -0.756         0.818
TS_LAND          275.751             276.954            -1.203         1.285
U_200             19.539              19.690            -0.151         0.672
VT_850            -0.091              -0.092             0.002         0.487
Z3_500            55.908              56.095            -0.187         0.191
