DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -110.142            -110.450             0.308         1.248
RESSURF          -83.963             -83.728            -0.235         5.232
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.152               4.282            -0.129         0.247
CLDHGH            31.323              31.246             0.077         1.120
CLDLOW            37.431              38.023            -0.592         1.402
CLDMED            17.730              17.433             0.298         0.915
CLDTOT            55.881              56.176            -0.294         1.236
EKE_850           54.981              55.161            -0.181         1.708
EP             1.838e-01           1.842e-01        -4.285e-04         0.192
FLNS              62.861              62.232             0.629         1.366
FLNSC             91.918              91.206             0.712         1.425
FLNT             214.060             216.159            -2.099         2.389
FLNTC            240.880             243.086            -2.206         2.328
FSDS              79.415              80.662            -1.247         2.022
FSDSC            106.188             108.323            -2.135         2.442
FSNS              71.585              72.687            -1.102         1.747
FSNSC             95.309              97.091            -1.782         2.057
FSNSC_ICE          2.595               2.337             0.259         0.346
FSNSC_LAND        76.034              77.173            -1.139         1.698
FSNT             103.919             105.709            -1.791         2.278
FSNTC            126.706             129.356            -2.650         2.961
ICEAREA           15.278              14.136             1.142         0.077
LHFLX             78.940              80.755            -1.815         3.668
LWCF              26.820              26.927            -0.107         1.030
PRECT              2.471               2.535            -0.064         0.185
PRECT_LAND         0.864               0.911            -0.047         0.131
PRECT_OCEAN        2.918               2.978            -0.060         0.200
PREH2O            13.717              14.511            -0.794         0.945
PREH2O_OCEAN      16.297              17.086            -0.789         0.996
PSI_200            7.256               7.438            -0.183         0.216
PS               983.329             983.578            -0.249         0.700
PSL             1007.299            1007.532            -0.233         0.692
QFLX               2.655               2.720            -0.065         0.114
SHFLX             13.747              13.428             0.319         2.512
SNOWHLND          46.996              46.944             0.052         1.045
SST               13.407              14.026            -0.619         0.632
STRESS_MAG         0.105               0.104             0.001         0.007
SWCF             -22.787             -23.647             0.859         1.420
T_850            273.322             274.082            -0.759         0.796
TGCLDLWP         141.785             144.437            -2.652         7.656
TGCLDIWP          23.388              22.958             0.429         1.091
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.130             278.924            -0.794         0.883
TS               278.737             279.517            -0.779         0.898
TS_LAND          258.995             260.056            -1.062         1.091
U_200             29.932              30.359            -0.427         1.032
VT_850            -0.370              -0.345            -0.024         0.789
Z3_500            54.553              54.750            -0.197         0.210
