DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -68.438             -68.458             0.020         1.032
RESSURF          -44.107             -43.747            -0.361         3.682
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.636              -0.766             0.131         0.183
CLDHGH            24.109              24.112            -0.003         1.008
CLDLOW            38.585              39.139            -0.554         1.421
CLDMED            16.245              15.929             0.316         0.788
CLDTOT            51.876              52.274            -0.399         1.260
EKE_850           42.065              41.701             0.364         1.458
EP             1.443e-01           1.529e-01        -8.653e-03         0.206
FLNS              58.719              57.900             0.819         1.423
FLNSC             86.444              85.430             1.014         1.702
FLNT             225.765             227.820            -2.054         2.366
FLNTC            250.105             252.299            -2.194         2.288
FSDS             120.560             121.689            -1.129         2.085
FSDSC            164.248             166.414            -2.166         2.214
FSNS             108.267             109.405            -1.137         1.895
FSNSC            147.637             149.612            -1.975         2.326
FSNSC_ICE         20.928              21.057            -0.129         4.874
FSNSC_LAND       102.384             103.323            -0.939         1.198
FSNT             157.327             159.361            -2.034         2.492
FSNTC            194.375             197.440            -3.065         3.307
ICEAREA            8.700               7.459             1.241         0.072
LHFLX             81.275              83.152            -1.877         3.473
LWCF              24.339              24.479            -0.140         0.971
PRECT              2.605               2.663            -0.057         0.191
PRECT_LAND         1.527               1.547            -0.020         0.162
PRECT_OCEAN        2.874               2.936            -0.061         0.200
PREH2O            19.152              20.283            -1.131         1.308
PREH2O_OCEAN      21.559              22.626            -1.067         1.379
PSI_200            7.581               7.702            -0.122         0.148
PS               983.309             983.468            -0.159         0.498
PSL             1007.152            1007.279            -0.127         0.450
QFLX               2.750               2.815            -0.066         0.106
SHFLX             12.380              12.099             0.281         1.645
SNOWHLND          46.952              46.891             0.061         1.257
SST               15.953              16.631            -0.679         0.689
STRESS_MAG         0.093               0.092             0.001         0.006
SWCF             -37.048             -38.079             1.031         1.863
T_850            277.243             278.037            -0.794         0.811
TGCLDLWP         146.174             148.598            -2.424         7.204
TGCLDIWP          20.656              20.273             0.383         0.942
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.164             283.013            -0.849         0.910
TS               282.784             283.627            -0.843         0.931
TS_LAND          264.027             265.170            -1.143         1.186
U_200             24.166              24.481            -0.315         0.735
VT_850            -0.140              -0.140            -0.000         0.476
Z3_500            55.387              55.588            -0.201         0.207
