DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            19.468              20.801            -1.334         2.876
RESSURF           29.984              31.588            -1.603         3.229
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.581               1.726            -0.145         0.328
CLDHGH            25.319              24.902             0.417         1.246
CLDLOW            38.618              39.247            -0.629         1.324
CLDMED            15.484              15.187             0.297         0.708
CLDTOT            52.694              52.881            -0.186         1.367
EKE_850           42.441              42.253             0.188         1.215
EP             1.129e-01           1.242e-01        -1.126e-02         0.145
FLNS              62.244              61.570             0.674         1.276
FLNSC             91.081              90.304             0.777         1.201
FLNT             222.442             224.536            -2.093         2.304
FLNTC            245.986             247.981            -1.995         2.054
FSDS             204.694             206.206            -1.512         3.493
FSDSC            272.727             275.949            -3.222         3.480
FSNS             169.106             171.245            -2.139         3.686
FSNSC            228.331             232.073            -3.742         5.916
FSNSC_ICE         62.656              63.161            -0.505         6.160
FSNSC_LAND       147.840             149.200            -1.360         1.758
FSNT             241.910             245.337            -3.427         4.401
FSNTC            294.645             299.815            -5.170         6.782
ICEAREA           15.419              14.435             0.984         0.068
LHFLX             63.878              65.292            -1.414         2.762
LWCF              23.544              23.445             0.099         0.776
PRECT              2.036               2.074            -0.038         0.131
PRECT_LAND         1.519               1.576            -0.057         0.148
PRECT_OCEAN        2.172               2.203            -0.031         0.130
PREH2O            15.272              16.126            -0.855         1.021
PREH2O_OCEAN      17.590              18.434            -0.844         1.050
PSI_200            7.371               7.466            -0.095         0.125
PS               982.997             983.198            -0.201         0.372
PSL             1006.669            1006.843            -0.174         0.342
QFLX               2.149               2.199            -0.049         0.085
SHFLX             12.999              12.795             0.204         1.432
SNOWHLND          47.011              46.973             0.038         0.867
SST               13.301              13.915            -0.614         0.626
STRESS_MAG         0.101               0.102            -0.001         0.003
SWCF             -52.736             -54.478             1.742         3.403
T_850            274.940             275.701            -0.761         0.775
TGCLDLWP         136.213             138.176            -1.962         6.425
TGCLDIWP          21.145              20.687             0.458         0.986
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.877             280.579            -0.702         0.734
TS               280.390             281.080            -0.691         0.736
TS_LAND          266.429             267.404            -0.975         0.996
U_200             27.015              27.376            -0.361         0.604
VT_850            -0.246              -0.242            -0.004         0.443
Z3_500            54.881              55.071            -0.190         0.194
