DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            47.754              48.331            -0.577         1.428
RESSURF           15.516              15.544            -0.028         1.630
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.509              -0.538             0.029         0.240
CLDHGH            36.364              36.249             0.115         0.879
CLDLOW            28.552              29.178            -0.626         1.099
CLDMED            16.843              16.712             0.131         0.832
CLDTOT            52.785              53.157            -0.372         0.996
EKE_850           15.271              15.040             0.231         0.654
EP            -8.301e-02          -8.024e-02        -2.766e-03         0.272
FLNS              53.075              51.419             1.656         1.809
FLNSC             69.269              67.008             2.261         2.364
FLNT             243.504             245.649            -2.145         2.472
FLNTC            282.071             284.256            -2.185         2.238
FSDS             213.985             215.515            -1.530         2.337
FSDSC            288.368             291.346            -2.978         3.019
FSNS             198.522             199.990            -1.467         2.215
FSNSC            268.523             271.354            -2.831         2.873
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       242.308             244.827            -2.519         2.607
FSNT             291.259             293.980            -2.722         3.131
FSNTC            357.671             362.053            -4.382         4.416
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.813             115.921            -3.108         3.899
LWCF              38.567              38.608            -0.041         0.963
PRECT              3.991               4.096            -0.104         0.274
PRECT_LAND         4.083               4.199            -0.116         0.240
PRECT_OCEAN        3.957               4.057            -0.100         0.283
PREH2O            42.019              44.486            -2.467         2.562
PREH2O_OCEAN      43.742              46.254            -2.512         2.610
PSI_200           -0.602              -0.606             0.004         0.051
PS               995.897             995.999            -0.102         0.146
PSL             1010.619            1010.701            -0.082         0.121
QFLX               3.908               4.015            -0.107         0.123
SHFLX             17.119              17.105             0.013         1.000
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.270              27.934            -0.664         0.668
STRESS_MAG         0.052               0.052            -0.000         0.002
SWCF             -66.413             -68.073             1.660         2.353
T_850            290.258             291.064            -0.806         0.811
TGCLDLWP         134.616             137.175            -2.559         5.822
TGCLDIWP          12.057              11.711             0.346         0.581
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.970             299.722            -0.752         0.763
TS               299.944             300.679            -0.735         0.750
TS_LAND          298.286             299.250            -0.964         0.971
U_200              3.147               3.140             0.007         0.536
VT_850             0.266               0.265             0.001         0.231
Z3_500            58.586              58.791            -0.205         0.205
