DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            51.946              52.779            -0.833         2.400
RESSURF           14.511              14.871            -0.360         2.979
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.587              -0.569            -0.018         0.352
CLDHGH            37.861              37.778             0.083         1.498
CLDLOW            27.134              27.452            -0.318         1.192
CLDMED            17.501              17.400             0.100         1.254
CLDTOT            52.703              52.922            -0.218         1.344
EKE_850           11.592              11.078             0.514         1.198
EP            -9.491e-02          -9.135e-02        -3.553e-03         0.411
FLNS              55.164              53.734             1.430         1.843
FLNSC             71.065              68.964             2.101         2.384
FLNT             241.779             243.853            -2.074         2.992
FLNTC            281.579             283.722            -2.143         2.316
FSDS             217.117             218.987            -1.870         3.411
FSDSC            292.283             295.267            -2.984         3.025
FSNS             201.307             203.076            -1.769         3.181
FSNSC            272.056             274.874            -2.818         2.863
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.556             248.083            -2.527         2.630
FSNT             293.724             296.631            -2.907         3.822
FSNTC            361.366             365.665            -4.299         4.335
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            115.221             118.119            -2.898         4.553
LWCF              39.801              39.869            -0.068         1.653
PRECT              4.088               4.184            -0.096         0.390
PRECT_LAND         4.279               4.430            -0.151         0.396
PRECT_OCEAN        4.022               4.100            -0.078         0.388
PREH2O            40.620              42.928            -2.307         2.499
PREH2O_OCEAN      42.807              45.194            -2.387         2.556
PSI_200            1.531               1.547            -0.016         0.118
PS               994.898             994.969            -0.071         0.166
PSL             1009.638            1009.688            -0.050         0.157
QFLX               3.993               4.093            -0.100         0.131
SHFLX             16.411              16.352             0.059         1.213
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.201              27.871            -0.670         0.676
STRESS_MAG         0.058               0.057             0.000         0.003
SWCF             -67.642             -69.034             1.392         2.900
T_850            289.800             290.585            -0.784         0.794
TGCLDLWP         138.024             139.783            -1.759         8.109
TGCLDIWP          12.545              12.185             0.360         0.855
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.626             299.377            -0.750         0.765
TS               299.563             300.299            -0.736         0.754
TS_LAND          296.882             297.835            -0.954         0.970
U_200              4.020               3.676             0.344         1.050
VT_850            -2.300              -2.219            -0.082         0.385
Z3_500            58.437              58.632            -0.195         0.195
