DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            28.961              29.214            -0.253         1.787
RESSURF           -2.360              -2.441             0.080         3.518
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.473              -0.507             0.034         0.411
CLDHGH            34.808              34.591             0.217         1.353
CLDLOW            30.826              31.723            -0.897         1.612
CLDMED            16.662              16.409             0.254         1.255
CLDTOT            53.415              53.850            -0.435         1.602
EKE_850           10.468              10.586            -0.118         0.559
EP             8.299e-02           9.827e-02        -1.528e-02         0.431
FLNS              51.334              49.557             1.777         2.114
FLNSC             67.898              65.552             2.346         2.523
FLNT             244.567             246.953            -2.386         3.051
FLNTC            282.055             284.286            -2.232         2.343
FSDS             197.312             198.660            -1.348         3.259
FSDSC            272.112             275.088            -2.975         3.063
FSNS             182.860             184.172            -1.313         3.018
FSNSC            253.037             255.863            -2.826         2.903
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       228.121             230.643            -2.522         2.704
FSNT             273.528             276.166            -2.638         3.654
FSNTC            340.005             344.409            -4.404         4.443
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            117.040             120.206            -3.166         5.158
LWCF              37.488              37.334             0.154         1.493
PRECT              3.949               4.041            -0.092         0.413
PRECT_LAND         3.310               3.403            -0.093         0.340
PRECT_OCEAN        4.144               4.236            -0.092         0.434
PREH2O            42.635              45.192            -2.556         2.714
PREH2O_OCEAN      44.299              46.875            -2.576         2.728
PSI_200           -2.929              -2.976             0.047         0.079
PS               997.231             997.414            -0.183         0.221
PSL             1011.986            1012.149            -0.163         0.202
QFLX               4.032               4.140            -0.107         0.153
SHFLX             16.845              16.850            -0.005         1.214
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.099              27.756            -0.656         0.663
STRESS_MAG         0.070               0.070            -0.000         0.003
SWCF             -66.477             -68.243             1.766         3.175
T_850            290.144             290.967            -0.823         0.832
TGCLDLWP         143.385             145.987            -2.603         9.092
TGCLDIWP          11.854              11.500             0.354         0.907
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.856             299.610            -0.754         0.773
TS               299.757             300.493            -0.736         0.762
TS_LAND          298.025             299.023            -0.998         1.023
U_200              1.193               1.481            -0.288         0.596
VT_850             2.904               2.860             0.044         0.376
Z3_500            58.719              58.936            -0.217         0.218
