DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            55.526              55.902            -0.376         2.087
RESSURF           23.927              23.528             0.399         2.707
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.539              -0.604             0.065         0.299
CLDHGH            37.594              37.422             0.173         1.526
CLDLOW            26.954              27.626            -0.672         1.477
CLDMED            16.299              16.184             0.115         1.697
CLDTOT            52.285              52.672            -0.387         1.647
EKE_850           10.580              10.343             0.238         0.867
EP            -1.039e-01          -1.088e-01         4.893e-03         0.576
FLNS              53.446              51.756             1.691         2.060
FLNSC             69.174              66.901             2.273         2.495
FLNT             243.060             245.288            -2.228         3.310
FLNTC            282.567             284.856            -2.289         2.432
FSDS             221.037             222.452            -1.415         3.967
FSDSC            292.060             294.900            -2.840         2.914
FSNS             204.984             206.313            -1.329         3.742
FSNSC            271.936             274.632            -2.696         2.768
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       244.538             246.948            -2.410         2.544
FSNT             298.586             301.190            -2.604         4.177
FSNTC            362.077             366.318            -4.241         4.292
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.254             113.638            -3.384         5.359
LWCF              39.507              39.568            -0.061         1.854
PRECT              3.927               4.049            -0.122         0.557
PRECT_LAND         4.199               4.261            -0.062         0.331
PRECT_OCEAN        3.837               3.978            -0.141         0.612
PREH2O            42.650              45.174            -2.524         2.722
PREH2O_OCEAN      44.466              47.084            -2.619         2.821
PSI_200            0.163               0.174            -0.011         0.059
PS               995.603             995.639            -0.036         0.122
PSL             1010.301            1010.317            -0.016         0.098
QFLX               3.823               3.940            -0.118         0.150
SHFLX             17.357              17.392            -0.035         1.352
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.715              28.388            -0.673         0.680
STRESS_MAG         0.050               0.051            -0.001         0.003
SWCF             -63.491             -65.128             1.638         3.830
T_850            290.754             291.582            -0.827         0.837
TGCLDLWP         122.169             125.235            -3.066        11.535
TGCLDIWP          12.018              11.636             0.383         1.011
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.410             300.176            -0.767         0.780
TS               300.470             301.216            -0.746         0.766
TS_LAND          299.108             300.094            -0.986         0.999
U_200              5.263               5.309            -0.046         0.643
VT_850             0.215               0.214             0.001         0.314
Z3_500            58.606              58.811            -0.205         0.205
