DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001  b.e11.TSREFC2.f09.g16.ccmi23.001  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.001        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            54.739              55.584            -0.846         1.843
RESSURF           26.062              26.300            -0.238         2.438
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.433              -0.466             0.034         0.524
CLDHGH            35.217              35.237            -0.020         1.444
CLDLOW            29.274              29.902            -0.628         1.157
CLDMED            16.932              16.875             0.057         0.957
CLDTOT            52.737              53.201            -0.464         1.383
EKE_850           11.083              11.196            -0.114         0.607
EP            -2.183e-01          -2.213e-01         2.998e-03         0.363
FLNS              52.395              50.678             1.717         1.905
FLNSC             68.981              66.674             2.308         2.410
FLNT             244.591             246.463            -1.872         2.683
FLNTC            282.084             284.154            -2.070         2.147
FSDS             220.610             222.086            -1.476         2.894
FSDSC            297.199             300.324            -3.126         3.185
FSNS             205.066             206.513            -1.447         2.750
FSNSC            277.238             280.231            -2.993         3.047
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       251.190             253.830            -2.641         2.746
FSNT             299.330             302.047            -2.717         3.495
FSNTC            367.420             372.003            -4.583         4.616
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            108.754             111.714            -2.960         4.336
LWCF              37.493              37.691            -0.198         1.585
PRECT              4.004               4.110            -0.106         0.353
PRECT_LAND         4.553               4.713            -0.160         0.337
PRECT_OCEAN        3.827               3.914            -0.087         0.355
PREH2O            42.138              44.601            -2.463         2.577
PREH2O_OCEAN      43.371              45.820            -2.449         2.580
PSI_200           -1.135              -1.131            -0.003         0.060
PS               995.823             995.962            -0.138         0.176
PSL             1010.519            1010.641            -0.121         0.152
QFLX               3.786               3.889            -0.103         0.130
SHFLX             17.856              17.821             0.035         1.202
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.060              27.711            -0.651         0.656
STRESS_MAG         0.053               0.053            -0.000         0.002
SWCF             -68.091             -69.956             1.866         2.950
T_850            290.330             291.115            -0.785         0.791
TGCLDLWP         135.002             137.834            -2.832         6.932
TGCLDIWP          11.821              11.531             0.289         0.768
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.979             299.712            -0.733         0.744
TS               299.979             300.694            -0.715         0.730
TS_LAND          299.104             300.022            -0.918         0.930
U_200              2.128               2.122             0.007         0.630
VT_850             0.183               0.141             0.042         0.297
Z3_500            58.576              58.779            -0.203         0.203
